,system,latency,subset,ref,doc,level,metric,value,align
63,FBK,high,nonn,ref,31_devil-chocolate,document,bleu,34.8251,one_seq
64,FBK,high,nonn,ref,32_ck-remoa,document,bleu,14.1135,one_seq
65,FBK,high,nonn,ref,33_logistic-servis,document,bleu,9.1099,one_seq
66,FBK,high,nonn,ref,34_kol_action_accessoires,document,bleu,13.3589,one_seq
67,FBK,high,nonn,ref,35_f-e-time-travel-agency,document,bleu,14.295,one_seq
68,FBK,high,nonn,ref,36_step-house,document,bleu,25.6706,one_seq
69,FBK,high,nonn,ref,37_caspowalk,document,bleu,21.2157,one_seq
70,FBK,high,nonn,ref,38_seta,document,bleu,14.7461,one_seq
71,FBK,high,nonn,ref,39_total-regal,document,bleu,16.1934,one_seq
72,FBK,high,nonn,ref,austrian,document,bleu,30.6973,one_seq
73,FBK,high,nonn,ref,belgian,document,bleu,26.8786,one_seq
74,FBK,high,nonn,ref,dutch,document,bleu,31.3125,one_seq
75,FBK,high,nonn,ref,polish,document,bleu,30.4709,one_seq
76,FBK,high,nonn,ref,romanian,document,bleu,25.119,one_seq
77,FBK,high,nonn,ref,spanish,document,bleu,23.0368,one_seq
78,CUNI-KIT,high,nonn,ref+intp,all-nonn,testset,bleu,33.1419,one_seq
79,HW-TSC,low,nat,intp,ted_37498,document,chrf,55.0195,one_seq
80,HW-TSC,low,nat,intp,ted_39331,document,chrf,55.9447,one_seq
81,HW-TSC,low,nat,intp,ted_42604,document,chrf,57.5906,one_seq
82,HW-TSC,low,nat,intp,ted_45614,document,chrf,58.4585,one_seq
83,HW-TSC,low,nat,intp,ted_45973,document,chrf,52.0809,one_seq
84,HW-TSC,low,nat,intp,ted_46528,document,chrf,56.0983,one_seq
85,HW-TSC,low,nat,intp,ted_49440,document,chrf,55.4223,one_seq
86,HW-TSC,low,nat,intp,ted_50853,document,chrf,60.3022,one_seq
87,HW-TSC,low,nat,intp,ted_51101,document,chrf,55.8849,one_seq
88,HW-TSC,low,nat,intp,ted_52268,document,chrf,54.2934,one_seq
89,HW-TSC,low,nat,intp,ted_54706,document,chrf,53.2404,one_seq
90,HW-TSC,low,nat,intp,ted_55061,document,chrf,56.8239,one_seq
91,HW-TSC,low,nat,intp,ted_56901,document,chrf,57.7227,one_seq
92,HW-TSC,low,nat,intp,ted_57418,document,chrf,57.0036,one_seq
93,HW-TSC,low,nat,intp,ted_60872,document,chrf,57.0077,one_seq
94,HW-TSC,low,nat,intp,ted_62628,document,chrf,59.4234,one_seq
95,HW-TSC,low,nat,intp,ted_63920,document,chrf,59.4356,one_seq
96,UPV,high,nat,ref,all-nat,testset,bleu,25.6248,one_seq
97,FBK,medium,nonn,ref+intp,all-nonn,testset,bleu,23.5571,one_seq
98,UPV,medium,nonn,intp,all-nonn,testset,bleu,11.1241,one_seq
99,FBK,high,nat,intp,all-nat,testset,bleu,15.731,one_seq
100,FBK,low,nat,ref+intp,all-nat,testset,chrf,48.4686,one_seq
101,CUNI-KIT,low,nonn,ref+intp,all-nonn,testset,chrf,63.2903,one_seq
102,HW-TSC,low,nonn,ref,all-nonn,testset,chrf,46.9029,one_seq
103,NAIST,high,nat,ref,ted_37498,document,bleu,16.5396,one_seq
104,NAIST,high,nat,ref,ted_39331,document,bleu,24.754,one_seq
105,NAIST,high,nat,ref,ted_42604,document,bleu,21.121,one_seq
106,NAIST,high,nat,ref,ted_45614,document,bleu,17.4361,one_seq
107,NAIST,high,nat,ref,ted_45973,document,bleu,18.7141,one_seq
108,NAIST,high,nat,ref,ted_46528,document,bleu,14.6956,one_seq
109,NAIST,high,nat,ref,ted_49440,document,bleu,19.6232,one_seq
110,NAIST,high,nat,ref,ted_50853,document,bleu,15.5738,one_seq
111,NAIST,high,nat,ref,ted_51101,document,bleu,22.629,one_seq
112,NAIST,high,nat,ref,ted_52268,document,bleu,24.7026,one_seq
113,NAIST,high,nat,ref,ted_54706,document,bleu,12.6512,one_seq
114,NAIST,high,nat,ref,ted_55061,document,bleu,22.1582,one_seq
115,NAIST,high,nat,ref,ted_56901,document,bleu,10.6842,one_seq
116,NAIST,high,nat,ref,ted_57418,document,bleu,20.6222,one_seq
117,NAIST,high,nat,ref,ted_60872,document,bleu,14.8342,one_seq
118,NAIST,high,nat,ref,ted_62628,document,bleu,16.2005,one_seq
119,NAIST,high,nat,ref,ted_63920,document,bleu,15.3311,one_seq
120,CUNI-KIT,medium,nonn,ref+intp,all-nonn,testset,bleu,30.5314,one_seq
121,CUNI-KIT,low,nat,ref,ted_37498,document,bleu,22.2808,one_seq
122,CUNI-KIT,low,nat,ref,ted_39331,document,bleu,34.9786,one_seq
123,CUNI-KIT,low,nat,ref,ted_42604,document,bleu,26.3469,one_seq
124,CUNI-KIT,low,nat,ref,ted_45614,document,bleu,19.7357,one_seq
125,CUNI-KIT,low,nat,ref,ted_45973,document,bleu,20.9768,one_seq
126,CUNI-KIT,low,nat,ref,ted_46528,document,bleu,18.8834,one_seq
127,CUNI-KIT,low,nat,ref,ted_49440,document,bleu,26.6328,one_seq
128,CUNI-KIT,low,nat,ref,ted_50853,document,bleu,18.8674,one_seq
129,CUNI-KIT,low,nat,ref,ted_51101,document,bleu,23.8484,one_seq
130,CUNI-KIT,low,nat,ref,ted_52268,document,bleu,31.0471,one_seq
131,CUNI-KIT,low,nat,ref,ted_54706,document,bleu,17.6462,one_seq
132,CUNI-KIT,low,nat,ref,ted_55061,document,bleu,31.5204,one_seq
133,CUNI-KIT,low,nat,ref,ted_56901,document,bleu,11.9225,one_seq
134,CUNI-KIT,low,nat,ref,ted_57418,document,bleu,27.4851,one_seq
135,CUNI-KIT,low,nat,ref,ted_60872,document,bleu,16.8694,one_seq
136,CUNI-KIT,low,nat,ref,ted_62628,document,bleu,18.2891,one_seq
137,CUNI-KIT,low,nat,ref,ted_63920,document,bleu,22.9159,one_seq
138,NAIST,high,nonn,ref+intp,03_botel-proti-proudu,document,bleu,10.3739,one_seq
139,NAIST,high,nonn,ref+intp,04_g-t,document,bleu,19.5593,one_seq
140,NAIST,high,nonn,ref+intp,05_i-dodge,document,bleu,6.4967,one_seq
141,NAIST,high,nonn,ref+intp,06_masaze-petr-klic,document,bleu,5.5725,one_seq
142,NAIST,high,nonn,ref+intp,07_bucherinsel-west,document,bleu,10.7963,one_seq
143,NAIST,high,nonn,ref+intp,08_jizeran,document,bleu,20.6451,one_seq
144,NAIST,high,nonn,ref+intp,09_il-gabbiano,document,bleu,11.5151,one_seq
145,NAIST,high,nonn,ref+intp,10_magic-travel,document,bleu,13.1297,one_seq
146,NAIST,high,nonn,ref+intp,11_trefa,document,bleu,12.3948,one_seq
147,NAIST,high,nonn,ref+intp,12_fictionalcine,document,bleu,10.7155,one_seq
148,NAIST,high,nonn,ref+intp,13_don-bosco-barcelona,document,bleu,6.52,one_seq
149,NAIST,high,nonn,ref+intp,14_llibres-i-revistes-edb,document,bleu,10.9489,one_seq
150,NAIST,high,nonn,ref+intp,15_brnkni,document,bleu,6.1125,one_seq
151,NAIST,high,nonn,ref+intp,16_develop-most,document,bleu,7.462,one_seq
152,NAIST,high,nonn,ref+intp,17_tf-smart-team,document,bleu,9.7231,one_seq
153,NAIST,high,nonn,ref+intp,18_tf-magic-world,document,bleu,16.1377,one_seq
154,NAIST,high,nonn,ref+intp,19_be-beauty,document,bleu,10.1849,one_seq
155,NAIST,high,nonn,ref+intp,20_mela-e-piu,document,bleu,1.1044,one_seq
156,NAIST,high,nonn,ref+intp,21_hat-cap,document,bleu,4.7638,one_seq
157,NAIST,high,nonn,ref+intp,22_new-design-world,document,bleu,14.1837,one_seq
158,NAIST,high,nonn,ref+intp,23_pillowdream,document,bleu,19.3326,one_seq
159,NAIST,high,nonn,ref+intp,24_mole-g-p-technologies,document,bleu,9.3792,one_seq
160,NAIST,high,nonn,ref+intp,25_folkstyle,document,bleu,12.7002,one_seq
161,NAIST,high,nonn,ref+intp,26_tabacco-shop,document,bleu,16.3729,one_seq
162,NAIST,high,nonn,ref+intp,27_f-e-international-tour,document,bleu,13.8961,one_seq
163,NAIST,high,nonn,ref+intp,28_samanka,document,bleu,8.3168,one_seq
164,NAIST,high,nonn,ref+intp,29_salon-n-g,document,bleu,19.0057,one_seq
165,NAIST,high,nonn,ref+intp,30_appolonas,document,bleu,10.4378,one_seq
166,NAIST,high,nonn,ref+intp,31_devil-chocolate,document,bleu,16.065,one_seq
167,NAIST,high,nonn,ref+intp,32_ck-remoa,document,bleu,10.9853,one_seq
168,NAIST,high,nonn,ref+intp,33_logistic-servis,document,bleu,6.2958,one_seq
169,NAIST,high,nonn,ref+intp,34_kol_action_accessoires,document,bleu,20.6648,one_seq
170,NAIST,high,nonn,ref+intp,35_f-e-time-travel-agency,document,bleu,9.9897,one_seq
171,NAIST,high,nonn,ref+intp,36_step-house,document,bleu,17.5279,one_seq
172,NAIST,high,nonn,ref+intp,37_caspowalk,document,bleu,14.0612,one_seq
173,NAIST,high,nonn,ref+intp,38_seta,document,bleu,19.3106,one_seq
174,NAIST,high,nonn,ref+intp,39_total-regal,document,bleu,12.1127,one_seq
175,NAIST,high,nonn,ref+intp,austrian,document,bleu,17.0771,one_seq
176,NAIST,high,nonn,ref+intp,belgian,document,bleu,19.9812,one_seq
177,NAIST,high,nonn,ref+intp,dutch,document,bleu,6.5037,one_seq
178,NAIST,high,nonn,ref+intp,polish,document,bleu,15.4117,one_seq
179,NAIST,high,nonn,ref+intp,romanian,document,bleu,20.389,one_seq
180,NAIST,high,nonn,ref+intp,spanish,document,bleu,13.8251,one_seq
181,HW-TSC,medium,nat,ref,all-nat,testset,chrf,65.1754,one_seq
182,HW-TSC,medium,nat,ref+intp,ted_37498,document,bleu,27.2667,one_seq
183,HW-TSC,medium,nat,ref+intp,ted_39331,document,bleu,33.0952,one_seq
184,HW-TSC,medium,nat,ref+intp,ted_42604,document,bleu,27.7958,one_seq
185,HW-TSC,medium,nat,ref+intp,ted_45614,document,bleu,25.1011,one_seq
186,HW-TSC,medium,nat,ref+intp,ted_45973,document,bleu,22.9988,one_seq
187,HW-TSC,medium,nat,ref+intp,ted_46528,document,bleu,23.0446,one_seq
188,HW-TSC,medium,nat,ref+intp,ted_49440,document,bleu,27.7399,one_seq
189,HW-TSC,medium,nat,ref+intp,ted_50853,document,bleu,22.5475,one_seq
190,HW-TSC,medium,nat,ref+intp,ted_51101,document,bleu,28.3763,one_seq
191,HW-TSC,medium,nat,ref+intp,ted_52268,document,bleu,32.1728,one_seq
192,HW-TSC,medium,nat,ref+intp,ted_54706,document,bleu,18.0622,one_seq
193,HW-TSC,medium,nat,ref+intp,ted_55061,document,bleu,31.0111,one_seq
194,HW-TSC,medium,nat,ref+intp,ted_56901,document,bleu,17.2452,one_seq
195,HW-TSC,medium,nat,ref+intp,ted_57418,document,bleu,26.3358,one_seq
196,HW-TSC,medium,nat,ref+intp,ted_60872,document,bleu,21.6158,one_seq
197,HW-TSC,medium,nat,ref+intp,ted_62628,document,bleu,20.7996,one_seq
198,HW-TSC,medium,nat,ref+intp,ted_63920,document,bleu,25.04,one_seq
199,NAIST,medium,nonn,ref+intp,all-nonn,testset,bleu,14.5756,one_seq
200,NAIST,low,nonn,ref+intp,03_botel-proti-proudu,document,bleu,9.3009,one_seq
201,NAIST,low,nonn,ref+intp,04_g-t,document,bleu,9.8296,one_seq
202,NAIST,low,nonn,ref+intp,05_i-dodge,document,bleu,5.3227,one_seq
203,NAIST,low,nonn,ref+intp,06_masaze-petr-klic,document,bleu,3.4665,one_seq
204,NAIST,low,nonn,ref+intp,07_bucherinsel-west,document,bleu,9.3443,one_seq
205,NAIST,low,nonn,ref+intp,08_jizeran,document,bleu,16.0363,one_seq
206,NAIST,low,nonn,ref+intp,09_il-gabbiano,document,bleu,10.5781,one_seq
207,NAIST,low,nonn,ref+intp,10_magic-travel,document,bleu,11.3629,one_seq
208,NAIST,low,nonn,ref+intp,11_trefa,document,bleu,6.6561,one_seq
209,NAIST,low,nonn,ref+intp,12_fictionalcine,document,bleu,10.1484,one_seq
210,NAIST,low,nonn,ref+intp,13_don-bosco-barcelona,document,bleu,4.6147,one_seq
211,NAIST,low,nonn,ref+intp,14_llibres-i-revistes-edb,document,bleu,6.9624,one_seq
212,NAIST,low,nonn,ref+intp,15_brnkni,document,bleu,8.672,one_seq
213,NAIST,low,nonn,ref+intp,16_develop-most,document,bleu,3.9299,one_seq
214,NAIST,low,nonn,ref+intp,17_tf-smart-team,document,bleu,3.0319,one_seq
215,NAIST,low,nonn,ref+intp,18_tf-magic-world,document,bleu,7.53,one_seq
216,NAIST,low,nonn,ref+intp,19_be-beauty,document,bleu,5.6443,one_seq
217,NAIST,low,nonn,ref+intp,20_mela-e-piu,document,bleu,1.764,one_seq
218,NAIST,low,nonn,ref+intp,21_hat-cap,document,bleu,4.3037,one_seq
219,NAIST,low,nonn,ref+intp,22_new-design-world,document,bleu,8.9202,one_seq
220,NAIST,low,nonn,ref+intp,23_pillowdream,document,bleu,12.7258,one_seq
221,NAIST,low,nonn,ref+intp,24_mole-g-p-technologies,document,bleu,3.8558,one_seq
222,NAIST,low,nonn,ref+intp,25_folkstyle,document,bleu,10.6483,one_seq
223,NAIST,low,nonn,ref+intp,26_tabacco-shop,document,bleu,12.6361,one_seq
224,NAIST,low,nonn,ref+intp,27_f-e-international-tour,document,bleu,13.0153,one_seq
225,NAIST,low,nonn,ref+intp,28_samanka,document,bleu,9.5922,one_seq
226,NAIST,low,nonn,ref+intp,29_salon-n-g,document,bleu,13.0567,one_seq
227,NAIST,low,nonn,ref+intp,30_appolonas,document,bleu,3.9736,one_seq
228,NAIST,low,nonn,ref+intp,31_devil-chocolate,document,bleu,8.9476,one_seq
229,NAIST,low,nonn,ref+intp,32_ck-remoa,document,bleu,6.801,one_seq
230,NAIST,low,nonn,ref+intp,33_logistic-servis,document,bleu,3.4716,one_seq
231,NAIST,low,nonn,ref+intp,34_kol_action_accessoires,document,bleu,11.4105,one_seq
232,NAIST,low,nonn,ref+intp,35_f-e-time-travel-agency,document,bleu,6.1759,one_seq
233,NAIST,low,nonn,ref+intp,36_step-house,document,bleu,11.0002,one_seq
234,NAIST,low,nonn,ref+intp,37_caspowalk,document,bleu,12.2661,one_seq
235,NAIST,low,nonn,ref+intp,38_seta,document,bleu,11.3312,one_seq
236,NAIST,low,nonn,ref+intp,39_total-regal,document,bleu,11.3781,one_seq
237,NAIST,low,nonn,ref+intp,austrian,document,bleu,15.4667,one_seq
238,NAIST,low,nonn,ref+intp,belgian,document,bleu,14.5055,one_seq
239,NAIST,low,nonn,ref+intp,dutch,document,bleu,8.3079,one_seq
240,NAIST,low,nonn,ref+intp,polish,document,bleu,10.7168,one_seq
241,NAIST,low,nonn,ref+intp,romanian,document,bleu,13.2932,one_seq
242,NAIST,low,nonn,ref+intp,spanish,document,bleu,14.0073,one_seq
243,UPV,medium,nat,ref,all-nat,testset,bleu,23.2308,one_seq
244,FBK,high,nat,ref,all-nat,testset,chrf,69.9674,one_seq
245,FBK,low,nonn,intp,all-nonn,testset,chrf,40.4086,one_seq
246,CUNI-KIT,medium,nat,ref,all-nat,testset,bleu,26.3004,one_seq
247,CUNI-KIT,medium,nat,ref+intp,ted_37498,document,bleu,32.3159,one_seq
248,CUNI-KIT,medium,nat,ref+intp,ted_39331,document,bleu,46.8702,one_seq
249,CUNI-KIT,medium,nat,ref+intp,ted_42604,document,bleu,35.5845,one_seq
250,CUNI-KIT,medium,nat,ref+intp,ted_45614,document,bleu,30.277,one_seq
251,CUNI-KIT,medium,nat,ref+intp,ted_45973,document,bleu,32.4581,one_seq
252,CUNI-KIT,medium,nat,ref+intp,ted_46528,document,bleu,29.1406,one_seq
253,CUNI-KIT,medium,nat,ref+intp,ted_49440,document,bleu,34.5921,one_seq
254,CUNI-KIT,medium,nat,ref+intp,ted_50853,document,bleu,27.372,one_seq
255,CUNI-KIT,medium,nat,ref+intp,ted_51101,document,bleu,33.2209,one_seq
256,CUNI-KIT,medium,nat,ref+intp,ted_52268,document,bleu,40.1365,one_seq
257,CUNI-KIT,medium,nat,ref+intp,ted_54706,document,bleu,25.7607,one_seq
258,CUNI-KIT,medium,nat,ref+intp,ted_55061,document,bleu,40.4187,one_seq
259,CUNI-KIT,medium,nat,ref+intp,ted_56901,document,bleu,20.7491,one_seq
260,CUNI-KIT,medium,nat,ref+intp,ted_57418,document,bleu,34.363,one_seq
261,CUNI-KIT,medium,nat,ref+intp,ted_60872,document,bleu,29.1448,one_seq
262,CUNI-KIT,medium,nat,ref+intp,ted_62628,document,bleu,28.8501,one_seq
263,CUNI-KIT,medium,nat,ref+intp,ted_63920,document,bleu,31.2221,one_seq
264,HW-TSC,medium,nonn,ref,03_botel-proti-proudu,document,bleu,2.807,one_seq
265,HW-TSC,medium,nonn,ref,04_g-t,document,bleu,12.7535,one_seq
266,HW-TSC,medium,nonn,ref,05_i-dodge,document,bleu,2.0856,one_seq
267,HW-TSC,medium,nonn,ref,06_masaze-petr-klic,document,bleu,4.0904,one_seq
268,HW-TSC,medium,nonn,ref,07_bucherinsel-west,document,bleu,9.2902,one_seq
269,HW-TSC,medium,nonn,ref,08_jizeran,document,bleu,13.3814,one_seq
270,HW-TSC,medium,nonn,ref,09_il-gabbiano,document,bleu,3.5462,one_seq
271,HW-TSC,medium,nonn,ref,10_magic-travel,document,bleu,6.7339,one_seq
272,HW-TSC,medium,nonn,ref,11_trefa,document,bleu,7.9644,one_seq
273,HW-TSC,medium,nonn,ref,12_fictionalcine,document,bleu,4.8646,one_seq
274,HW-TSC,medium,nonn,ref,13_don-bosco-barcelona,document,bleu,2.1118,one_seq
275,HW-TSC,medium,nonn,ref,14_llibres-i-revistes-edb,document,bleu,0.2415,one_seq
276,HW-TSC,medium,nonn,ref,15_brnkni,document,bleu,1.7521,one_seq
277,HW-TSC,medium,nonn,ref,16_develop-most,document,bleu,8.5784,one_seq
278,HW-TSC,medium,nonn,ref,17_tf-smart-team,document,bleu,15.8736,one_seq
279,HW-TSC,medium,nonn,ref,18_tf-magic-world,document,bleu,6.9097,one_seq
280,HW-TSC,medium,nonn,ref,19_be-beauty,document,bleu,4.7565,one_seq
281,HW-TSC,medium,nonn,ref,20_mela-e-piu,document,bleu,0.7807,one_seq
282,HW-TSC,medium,nonn,ref,21_hat-cap,document,bleu,3.1649,one_seq
283,HW-TSC,medium,nonn,ref,22_new-design-world,document,bleu,7.0019,one_seq
284,HW-TSC,medium,nonn,ref,23_pillowdream,document,bleu,3.6148,one_seq
285,HW-TSC,medium,nonn,ref,24_mole-g-p-technologies,document,bleu,3.2336,one_seq
286,HW-TSC,medium,nonn,ref,25_folkstyle,document,bleu,14.3971,one_seq
287,HW-TSC,medium,nonn,ref,26_tabacco-shop,document,bleu,15.1555,one_seq
288,HW-TSC,medium,nonn,ref,27_f-e-international-tour,document,bleu,10.3825,one_seq
289,HW-TSC,medium,nonn,ref,28_samanka,document,bleu,4.535,one_seq
290,HW-TSC,medium,nonn,ref,29_salon-n-g,document,bleu,5.2182,one_seq
291,HW-TSC,medium,nonn,ref,30_appolonas,document,bleu,7.1509,one_seq
292,HW-TSC,medium,nonn,ref,31_devil-chocolate,document,bleu,22.2355,one_seq
293,HW-TSC,medium,nonn,ref,32_ck-remoa,document,bleu,6.8156,one_seq
294,HW-TSC,medium,nonn,ref,33_logistic-servis,document,bleu,1.6,one_seq
295,HW-TSC,medium,nonn,ref,34_kol_action_accessoires,document,bleu,11.1273,one_seq
296,HW-TSC,medium,nonn,ref,35_f-e-time-travel-agency,document,bleu,9.0386,one_seq
297,HW-TSC,medium,nonn,ref,36_step-house,document,bleu,9.8838,one_seq
298,HW-TSC,medium,nonn,ref,37_caspowalk,document,bleu,11.4185,one_seq
299,HW-TSC,medium,nonn,ref,38_seta,document,bleu,5.3336,one_seq
300,HW-TSC,medium,nonn,ref,39_total-regal,document,bleu,8.7807,one_seq
301,HW-TSC,medium,nonn,ref,austrian,document,bleu,23.1045,one_seq
302,HW-TSC,medium,nonn,ref,belgian,document,bleu,19.527,one_seq
303,HW-TSC,medium,nonn,ref,dutch,document,bleu,16.2259,one_seq
304,HW-TSC,medium,nonn,ref,polish,document,bleu,22.0778,one_seq
305,HW-TSC,medium,nonn,ref,romanian,document,bleu,21.1343,one_seq
306,HW-TSC,medium,nonn,ref,spanish,document,bleu,15.4234,one_seq
307,FBK,medium,nonn,intp,03_botel-proti-proudu,document,bleu,9.6241,one_seq
308,FBK,medium,nonn,intp,04_g-t,document,bleu,18.8468,one_seq
309,FBK,medium,nonn,intp,05_i-dodge,document,bleu,5.4614,one_seq
310,FBK,medium,nonn,intp,06_masaze-petr-klic,document,bleu,8.0885,one_seq
311,FBK,medium,nonn,intp,07_bucherinsel-west,document,bleu,4.4421,one_seq
312,FBK,medium,nonn,intp,08_jizeran,document,bleu,7.2137,one_seq
313,FBK,medium,nonn,intp,09_il-gabbiano,document,bleu,8.2361,one_seq
314,FBK,medium,nonn,intp,10_magic-travel,document,bleu,6.1758,one_seq
315,FBK,medium,nonn,intp,11_trefa,document,bleu,14.806,one_seq
316,FBK,medium,nonn,intp,12_fictionalcine,document,bleu,0.1199,one_seq
317,FBK,medium,nonn,intp,13_don-bosco-barcelona,document,bleu,5.7288,one_seq
318,FBK,medium,nonn,intp,14_llibres-i-revistes-edb,document,bleu,5.6768,one_seq
319,FBK,medium,nonn,intp,15_brnkni,document,bleu,11.8956,one_seq
320,FBK,medium,nonn,intp,16_develop-most,document,bleu,7.4517,one_seq
321,FBK,medium,nonn,intp,17_tf-smart-team,document,bleu,3.7192,one_seq
322,FBK,medium,nonn,intp,18_tf-magic-world,document,bleu,8.465,one_seq
323,FBK,medium,nonn,intp,19_be-beauty,document,bleu,11.5734,one_seq
324,FBK,medium,nonn,intp,20_mela-e-piu,document,bleu,1.4509,one_seq
325,FBK,medium,nonn,intp,21_hat-cap,document,bleu,4.6167,one_seq
326,FBK,medium,nonn,intp,22_new-design-world,document,bleu,8.7376,one_seq
327,FBK,medium,nonn,intp,23_pillowdream,document,bleu,2.9208,one_seq
328,FBK,medium,nonn,intp,24_mole-g-p-technologies,document,bleu,11.3805,one_seq
329,FBK,medium,nonn,intp,25_folkstyle,document,bleu,10.3842,one_seq
330,FBK,medium,nonn,intp,26_tabacco-shop,document,bleu,14.975,one_seq
331,FBK,medium,nonn,intp,27_f-e-international-tour,document,bleu,6.6519,one_seq
332,FBK,medium,nonn,intp,28_samanka,document,bleu,6.2752,one_seq
333,FBK,medium,nonn,intp,29_salon-n-g,document,bleu,3.2773,one_seq
334,FBK,medium,nonn,intp,30_appolonas,document,bleu,11.5176,one_seq
335,FBK,medium,nonn,intp,31_devil-chocolate,document,bleu,16.2078,one_seq
336,FBK,medium,nonn,intp,32_ck-remoa,document,bleu,5.7932,one_seq
337,FBK,medium,nonn,intp,33_logistic-servis,document,bleu,2.2975,one_seq
338,FBK,medium,nonn,intp,34_kol_action_accessoires,document,bleu,7.2119,one_seq
339,FBK,medium,nonn,intp,35_f-e-time-travel-agency,document,bleu,9.3202,one_seq
340,FBK,medium,nonn,intp,36_step-house,document,bleu,4.0815,one_seq
341,FBK,medium,nonn,intp,37_caspowalk,document,bleu,6.2169,one_seq
342,FBK,medium,nonn,intp,38_seta,document,bleu,3.4182,one_seq
343,FBK,medium,nonn,intp,39_total-regal,document,bleu,5.9978,one_seq
344,FBK,medium,nonn,intp,austrian,document,bleu,9.6154,one_seq
345,FBK,medium,nonn,intp,belgian,document,bleu,11.8805,one_seq
346,FBK,medium,nonn,intp,dutch,document,bleu,9.7198,one_seq
347,FBK,medium,nonn,intp,polish,document,bleu,8.4894,one_seq
348,FBK,medium,nonn,intp,romanian,document,bleu,8.842,one_seq
349,FBK,medium,nonn,intp,spanish,document,bleu,12.525,one_seq
350,FBK,high,nonn,intp,03_botel-proti-proudu,document,bleu,10.6842,one_seq
351,FBK,high,nonn,intp,04_g-t,document,bleu,18.1636,one_seq
352,FBK,high,nonn,intp,05_i-dodge,document,bleu,4.1306,one_seq
353,FBK,high,nonn,intp,06_masaze-petr-klic,document,bleu,7.7262,one_seq
354,FBK,high,nonn,intp,07_bucherinsel-west,document,bleu,7.7574,one_seq
355,FBK,high,nonn,intp,08_jizeran,document,bleu,7.2684,one_seq
356,FBK,high,nonn,intp,09_il-gabbiano,document,bleu,8.6185,one_seq
357,FBK,high,nonn,intp,10_magic-travel,document,bleu,8.1142,one_seq
358,FBK,high,nonn,intp,11_trefa,document,bleu,13.0038,one_seq
359,FBK,high,nonn,intp,12_fictionalcine,document,bleu,0.1199,one_seq
360,FBK,high,nonn,intp,13_don-bosco-barcelona,document,bleu,6.09,one_seq
361,FBK,high,nonn,intp,14_llibres-i-revistes-edb,document,bleu,3.6552,one_seq
362,FBK,high,nonn,intp,15_brnkni,document,bleu,11.7069,one_seq
363,FBK,high,nonn,intp,16_develop-most,document,bleu,11.2506,one_seq
364,FBK,high,nonn,intp,17_tf-smart-team,document,bleu,4.4284,one_seq
365,FBK,high,nonn,intp,18_tf-magic-world,document,bleu,10.4261,one_seq
366,FBK,high,nonn,intp,19_be-beauty,document,bleu,13.0734,one_seq
367,FBK,high,nonn,intp,20_mela-e-piu,document,bleu,2.2694,one_seq
368,FBK,high,nonn,intp,21_hat-cap,document,bleu,7.3389,one_seq
369,FBK,high,nonn,intp,22_new-design-world,document,bleu,6.6268,one_seq
370,FBK,high,nonn,intp,23_pillowdream,document,bleu,2.7654,one_seq
371,FBK,high,nonn,intp,24_mole-g-p-technologies,document,bleu,11.1403,one_seq
372,FBK,high,nonn,intp,25_folkstyle,document,bleu,11.9348,one_seq
373,FBK,high,nonn,intp,26_tabacco-shop,document,bleu,8.7097,one_seq
374,FBK,high,nonn,intp,27_f-e-international-tour,document,bleu,7.7239,one_seq
375,FBK,high,nonn,intp,28_samanka,document,bleu,5.925,one_seq
376,FBK,high,nonn,intp,29_salon-n-g,document,bleu,3.4427,one_seq
377,FBK,high,nonn,intp,30_appolonas,document,bleu,12.3056,one_seq
378,FBK,high,nonn,intp,31_devil-chocolate,document,bleu,17.2927,one_seq
379,FBK,high,nonn,intp,32_ck-remoa,document,bleu,9.327,one_seq
380,FBK,high,nonn,intp,33_logistic-servis,document,bleu,2.3706,one_seq
381,FBK,high,nonn,intp,34_kol_action_accessoires,document,bleu,12.2669,one_seq
382,FBK,high,nonn,intp,35_f-e-time-travel-agency,document,bleu,8.3715,one_seq
383,FBK,high,nonn,intp,36_step-house,document,bleu,3.3918,one_seq
384,FBK,high,nonn,intp,37_caspowalk,document,bleu,7.3504,one_seq
385,FBK,high,nonn,intp,38_seta,document,bleu,6.2857,one_seq
386,FBK,high,nonn,intp,39_total-regal,document,bleu,5.5439,one_seq
387,FBK,high,nonn,intp,austrian,document,bleu,11.2364,one_seq
388,FBK,high,nonn,intp,belgian,document,bleu,13.1546,one_seq
389,FBK,high,nonn,intp,dutch,document,bleu,10.4811,one_seq
390,FBK,high,nonn,intp,polish,document,bleu,9.9475,one_seq
391,FBK,high,nonn,intp,romanian,document,bleu,11.4516,one_seq
392,FBK,high,nonn,intp,spanish,document,bleu,13.8762,one_seq
393,HW-TSC,low,nat,ref,all-nat,testset,chrf,60.0,one_seq
394,NAIST,high,nat,intp,ted_37498,document,chrf,56.8519,one_seq
395,NAIST,high,nat,intp,ted_39331,document,chrf,56.6985,one_seq
396,NAIST,high,nat,intp,ted_42604,document,chrf,58.4632,one_seq
397,NAIST,high,nat,intp,ted_45614,document,chrf,57.5816,one_seq
398,NAIST,high,nat,intp,ted_45973,document,chrf,55.7472,one_seq
399,NAIST,high,nat,intp,ted_46528,document,chrf,55.6167,one_seq
400,NAIST,high,nat,intp,ted_49440,document,chrf,55.9772,one_seq
